id,question,hint,answer,created_at,updated_at,note_id
117,Cm,"","d, ma, s

短三和音です！",2020-12-20 09:15:20.638587+00,2020-12-20 09:15:20.638635+00,17
119,Cm7,"","d, ma, s, ta

副七和音です！なかなか緊張感があります！",2020-12-20 09:17:35.079147+00,2020-12-20 09:17:35.079205+00,17
118,C7,"","d, m, s, ta

属七和音です！
「セブンス」と愛称されるやつで、ドミナントで使われます！",2020-12-20 09:16:34.998873+00,2020-12-20 09:18:34.614599+00,17
120,C aug,"","d, m, si

増三和音です！
かなり派手ですね！",2020-12-20 09:19:47.993837+00,2020-12-20 09:19:47.993887+00,17
131,テスト設計のポイント,"","独自に組み込んだロジックに対してテストする
異常値のテストを入念に行う

上記の点を考慮し、正常値/異常値の動作を想定しテストする。
正常値は代表値、境界値をテストする。",2020-12-20 13:16:57.326306+00,2020-12-20 13:16:57.326337+00,19
122,C△7（別記: CM7）,"","d, m, s, t

メジャーセブンス！
1900年くらいから生まれた、近代を代表するコードです！
J-popでもめっちゃ使われます！",2020-12-20 09:22:59.928093+00,2020-12-20 09:24:06.276282+00,17
121,Cm -5,"","d, ma, se

減三和音です！
とにかく印象に残したいときに！",2020-12-20 09:21:00.575254+00,2020-12-20 09:25:10.333436+00,17
123,C sus4,C suspended 4,"d, f, s

サスペンデットフォー！！！！
こいつがいると曲が輝きます！大好きです！",2020-12-20 09:26:13.986018+00,2020-12-20 09:26:13.986069+00,17
124,document.getElementById('id-name');,ドキュメント.Idで要素をゲット('id-name');,'id-name'というidのついた要素を取得,2020-12-20 09:36:51.357216+00,2020-12-20 09:36:51.357267+00,18
125,let name = document.getElementById('id-name');,"",nameという変数を定義,2020-12-20 09:38:46.199083+00,2020-12-20 09:38:46.199259+00,18
126,const name = document.getElementById('id-name');,"",nameという定数を定義,2020-12-20 09:39:06.93384+00,2020-12-20 09:39:06.933891+00,18
127,name.classList.add('container');,"",nameに'container'クラスを追加,2020-12-20 09:40:43.960598+00,2020-12-20 09:40:43.960647+00,18
128,name.classList.remove('d-none');,"",nameの'd-none'クラスを削除,2020-12-20 09:41:31.469089+00,2020-12-20 09:41:31.469138+00,18
132,代表値,"","正常値の中で、想定される模範的な値。

例えば年齢のフォームにおいて、正常値は「0~100」ぐらいまでを想定できる。
この正常値を代表して「36」という値をテストする。",2020-12-20 13:19:09.270681+00,2020-12-20 13:19:09.270711+00,19
133,境界値,"","正常値、異常値の境目となる値。

例えば年齢のフォームにおいて「0~100」を境目とする。
この「100」の値でテストを行う。",2020-12-20 13:21:19.06127+00,2020-12-20 13:21:19.061296+00,19
129,テストをやる目的,"","ソフトウェアの品質を保つこと。

アプリに優れた機能があっても、致命的なバグがありユーザや開発者に影響を与えてしまう場合、ソフトウェアとして失敗している。

想定通りの挙動か、異常な動作がないかを確認するために、テストを行う。",2020-12-20 09:47:08.64222+00,2020-12-20 13:09:16.313109+00,19
134,異常値の例 (年齢のフォームで、入力範囲を「0~100」とする),"","1. 境界値を超えた値: -1, 101
2. 空白: 
3. 記号: !@#$%^
4. 少数

上記は例で、想定される異常値は多岐にわたる",2020-12-20 13:25:43.887151+00,2020-12-20 13:26:11.152685+00,19
130,正常値、異常値,"","- 正常値
設計において想定した値 (mail: masa@example.com)

- 異常値
設計で想定していない値 (mail: !@#$%^^&*)",2020-12-20 13:08:15.389568+00,2020-12-20 13:09:58.729161+00,19
135,git init,"",リポジトリを作成,2020-12-20 13:38:00.518319+00,2020-12-20 13:38:00.518346+00,20
137,git status,"",リポジトリの状態を確認,2020-12-20 13:45:26.101503+00,2020-12-20 13:45:26.101531+00,20
138,git branch,"",ブランチの一覧,2020-12-20 13:45:40.012767+00,2020-12-20 13:45:40.012794+00,20
139,git branch name,"",nameというブランチを作成,2020-12-20 13:46:21.178159+00,2020-12-20 13:46:21.178186+00,20
136,git clone https://github.com/flutter/flutter.git,"",URLで指定したリポジトリを、ローカルにクローン,2020-12-20 13:43:39.648849+00,2020-12-20 13:46:52.147531+00,20
140,git chekout name,"",nameブランチに移動,2020-12-20 13:47:36.249635+00,2020-12-20 13:47:36.249661+00,20
141,git add .,"",変更したファイル全てをステージに乗せる,2020-12-20 13:48:47.287157+00,2020-12-20 13:48:47.287187+00,20
142,git commit -m 'first commit',"",変更したファイルの状態を記録(コミット)し、'first commit'というコメントをつける,2020-12-20 13:50:12.896911+00,2020-12-20 13:50:12.896938+00,20
143,git log,"","コミットの履歴の一覧

「git log --oneline」で簡易表示にする",2020-12-20 13:51:20.047558+00,2020-12-20 13:52:01.145196+00,20
144,git push origin name,"",nameブランチをリモートリポジトリ(origin)にプッシュ(送信),2020-12-20 13:53:28.792403+00,2020-12-20 13:53:28.792502+00,20
145,git pull origin master,"",masterブランチに、リモートリポジトリ(origin)をプル(ダウンロード),2020-12-20 13:54:28.985295+00,2020-12-20 13:54:28.985398+00,20
146,git reset 3968,"",3698のコミットを取り消す,2020-12-20 13:56:33.572847+00,2020-12-20 13:56:33.572875+00,20
148,ログインして問題を作成しよう！,必要ならヒントも加えてみましょう！,"「問題」と「答え」は必ず入力する必要があります。
それぞれ500文字まで入力できます。文字数に気をつけましょう！",2020-12-30 14:39:24.287687+00,2020-12-30 14:50:15.606035+00,25
149,問題がわからなかった時は「復習する」を押しましょう！,「復習する」を押すためにはログインが必要です。,"「復習する」を押すと、問題の上にある「復習のみ」ボタンから表示が切り替わります。
あとで復習したくなった時に活用しましょう！",2020-12-30 14:44:29.882252+00,2020-12-30 14:57:31.845076+00,25
152,タイトル「Wordbook」の下にある、緑色のタグを押すと...,"","タグ付けされた単語帳を一覧で表示できます。
ユーザーに共有しやすいようなタグをつけてみよう！",2020-12-30 15:09:36.895128+00,2020-12-30 15:09:36.895156+00,25
147,「答え」のボタンを押してください。,"","Wordbookへようこそ！

Wordbookは自由に単語帳を作成できるアプリケーションです。
単語帳の「タイトル」を決めて「問題」と「答え」を追加していきます。",2020-12-30 14:35:20.238727+00,2020-12-30 15:10:13.18468+00,25
153,☆のアイコンを押して「いいね」しよう！,自分で作成した単語帳に「いいね」はできません。,お気に入りの単語帳があれば「いいね」をしよう！,2020-12-30 15:13:38.855332+00,2020-12-30 15:13:38.855361+00,25
150,画面の左上にある「Wordbook」を押すと...,"","マイページへ移動します。
マイページでは自分が作成した単語帳と「いいね」した単語帳を表示します。

黄色いプラスのアイコンを押すと、新しく単語帳を作成できます。",2020-12-30 14:54:19.799312+00,2020-12-30 15:22:15.032632+00,25
151,「検索」「ランキング」「おすすめ」から単語帳を探そう！,"","ユーザーが作成した単語帳は「検索」「ランキング」「おすすめ」から探すことができます。

検索: 単語帳、ユーザー、タグを検索できます。
ランキング: いいねの数、フォロー数、タグ付された総数の一覧。
おすすめ: 新着、フォローしたユーザー、AIおすすめの単語帳を表示します。

チュートリアルは以上です。楽しんでくださいね！",2020-12-30 15:02:17.791802+00,2020-12-30 15:56:59.6874+00,25
